pid,creator,location,label,_date,description,current_location,source,order,layout,collection,thumbnail,manifest,full
obj15,Pratt Institute Black Students Union,"Brooklyn, NY",Statement from Black Students Union,1969,open letter,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28578666,14,protest_item,protest,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json,"/img/derivatives/iiif/images/obj15/full/1140,/0/default.jpg"
obj16,Pratt Institute Black Students Union,"Brooklyn, NY",Attack on Sisters of the Black Students Union,"May 8, 1969",press release,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28578668,15,protest_item,protest,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json,"/img/derivatives/iiif/images/obj16/full/1140,/0/default.jpg"
obj17,,"Brooklyn, NY",Agenda Discussed in the Meeting Between the Black Student Union and Dr. Seymour Gang,"April 27, 1972",agenda,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,16,protest_item,protest,"/img/derivatives/iiif/images/obj17_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json,"/img/derivatives/iiif/images/obj17_1/full/1140,/0/default.jpg"
obj18,,"Brooklyn, NY",Actions of the Faculty of Pratt Institute,"May 18, 1972",Letter outlining the actions of the faculty of the Pratt Institute in relation to the student movements.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,17,protest_item,protest,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json,"/img/derivatives/iiif/images/obj18/full/1140,/0/default.jpg"
obj19,,"Brooklyn, NY",Saltzman Must Go!,ca. 1970s,"Call for the resignation of Pratt Institute president Henry Saltzman, listing the offenses Saltzman has committed.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752155,18,protest_item,protest,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json,"/img/derivatives/iiif/images/obj19/full/1140,/0/default.jpg"
obj20,,"Brooklyn, NY","Prattler, Volume 30, Number 18","April 8, 1969",,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.29261901,19,protest_item,protest,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/obj20/manifest.json,"/img/derivatives/iiif/images/obj20/full/1140,/0/default.jpg"
obj21,,"Brooklyn, NY","Strike? Strike! The Prattler March 7, 1972","March 7, 1972",Article about the student strikes in 1972 at Pratt Institute.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,20,protest_item,protest,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/obj21/manifest.json,"/img/derivatives/iiif/images/obj21/full/1140,/0/default.jpg"
obj22,"Saltzman, Henry","Brooklyn, NY",Letter to Vice President Mathis from Henry Saltzman,"May 8, 1972",Letter to vice president Mathis from president Henry Saltzman regarding direct correspondence with Trustees from students and other individuals.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752145,21,protest_item,protest,"/img/derivatives/iiif/images/obj22_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj22/manifest.json,"/img/derivatives/iiif/images/obj22_1/full/1140,/0/default.jpg"
obj23,,"Brooklyn, NY","Striker, Vol. 1",ca. 1972,serial,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28750080,22,protest_item,protest,"/img/derivatives/iiif/images/obj23_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj23/manifest.json,"/img/derivatives/iiif/images/obj23_1/full/1140,/0/default.jpg"
obj24,Pratt Institute Students,"Brooklyn, NY",Students for Students Flyer,ca. 1960s,letter; budget,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28750079,23,protest_item,protest,"/img/derivatives/iiif/images/obj24_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj24/manifest.json,"/img/derivatives/iiif/images/obj24_1/full/1140,/0/default.jpg"
